"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword banana should display the corresponding article","ERROR","2021-05-08T22:48:12.7140906+03:00[Europe/Athens]","0.0","0.91"
"Search by keyword story","Searching by keyword apple should display the corresponding article","ERROR","2021-05-08T22:48:14.3060869+03:00[Europe/Athens]","0.0","0.36"
